101,1,0.0,0.0
101,2,10.47,44.71
101,3,107.16,309.68
101,4,107.86,246.46
101,5,355.76,632.34
101,6,628.39,1031.12
101,7,154.51,247.49
102,1,0.0,0.0
102,2,3.27,7.34
102,3,73.65,65.83
102,4,203.74,274.86
102,5,829.7,1029.82
102,6,1944.01,2597.4
102,7,391.24,544.95
103,1,0.0,0.0
103,2,7.78,18.19
103,3,100.94,208.34
103,4,220.16,576.7
103,5,724.03,1427.96
103,6,935.66,1423.04
103,7,179.34,273.46
104,1,0.0,0.0
104,2,71.26,279.75
104,3,1677.82,5673.77
104,4,3140.15,7994.45
104,5,7139.38,15122.19
104,6,10425.09,16129.74
104,7,2575.79,3701.16
105,1,0.0,0.0
105,2,0.0,0.0
105,3,0.0,0.0
105,4,16.57,13.55
105,5,8.29,7.94
105,6,34.0,53.82
105,7,2.0,2.39
106,1,0.0,0.0
106,2,11.56,30.29
106,3,187.28,260.23
106,4,278.0,371.62
106,5,705.53,927.69
106,6,1167.5,1389.97
106,7,227.25,325.32
107,1,0.0,0.0
107,2,71.15,279.77
107,3,1664.09,5677.06
107,4,3121.29,8000.34
107,5,7235.03,15093.68
107,6,10847.18,16072.47
107,7,2669.59,3686.61
108,1,0.0,0.0
108,2,2.23,2.22
108,3,56.15,39.11
108,4,224.62,100.02
108,5,1365.15,891.77
108,6,3671.23,2654.93
108,7,681.46,421.02
109,1,0.0,0.0
109,2,4.27,12.82
109,3,77.64,76.52
109,4,203.66,274.82
109,5,825.38,1030.23
109,6,1919.43,2596.7
109,7,386.92,543.6
110,1,0.0,0.0
110,2,0.0,0.0
110,3,229.59,436.8
110,4,585.09,887.63
110,5,2339.27,3895.65
110,6,4130.91,4816.75
110,7,650.73,737.02
111,1,0.0,0.0
111,2,10.49,44.7
111,3,107.18,309.67
111,4,107.9,246.44
111,5,353.94,633.03
111,6,622.33,1033.24
111,7,153.1,247.96
112,1,0.0,0.0
112,2,0.5,1.12
112,3,65.67,76.28
112,4,155.08,129.91
112,5,348.0,420.6
112,6,1031.83,1079.13
112,7,329.75,315.38
113,1,0.0,0.0
113,2,12.34,30.36
113,3,191.91,258.95
113,4,268.69,370.38
113,5,644.59,806.69
113,6,1118.91,1323.45
113,7,223.31,322.45
114,1,0.0,0.0
114,2,2.0,5.31
114,3,80.52,158.74
114,4,580.57,1134.66
114,5,913.95,1190.17
114,6,1309.67,938.25
114,7,427.95,290.24
115,1,0.0,0.0
115,2,4.57,12.97
115,3,78.41,76.65
115,4,207.59,274.75
115,5,835.62,1027.06
115,6,1950.76,2594.54
115,7,395.16,543.95
116,1,0.0,0.0
116,2,4.57,12.97
116,3,77.27,76.26
116,4,206.5,275.19
116,5,834.99,1027.48
116,6,1948.59,2595.6
116,7,393.22,544.71
117,1,0.0,0.0
117,2,71.21,279.76
117,3,1674.29,5674.72
117,4,3139.29,7994.75
117,5,7222.94,15098.46
117,6,10791.97,16102.0
117,7,2666.53,3688.4
118,1,0.0,0.0
118,2,34.19,146.75
118,3,386.69,1588.29
118,4,490.72,1588.51
118,5,887.59,1659.09
118,6,1065.97,1588.85
118,7,200.97,295.94
119,1,0.0,0.0
119,2,6.19,10.3
119,3,68.95,40.86
119,4,131.95,167.13
119,5,457.1,569.88
119,6,1699.9,1743.56
119,7,330.14,295.02
120,1,0.0,0.0
120,2,4.55,12.97
120,3,78.77,76.5
120,4,207.27,274.91
120,5,831.16,1029.38
120,6,1944.53,2597.23
120,7,394.12,544.42
121,1,0.0,0.0
121,2,33.41,146.86
121,3,386.22,1588.4
121,4,489.25,1588.87
121,5,891.31,1657.8
121,6,1082.03,1583.8
