1,neighborhood,hot,469,289,726,559,355
1,neighborhood,cold,724,279,715,422,312
2,neighborhood,hot,665,132,469,483,171
2,neighborhood,cold,279,208,312,715,422
3,neighborhood,hot,665,132,483,171,469
3,neighborhood,cold,227,443,422,270,647
4,neighborhood,hot,469,289,433,528,586
4,neighborhood,cold,422,312,110,270,647
5,neighborhood,hot,469,289,528,433,726
5,neighborhood,cold,422,312,110,270,647
6,neighborhood,hot,469,289,528,433,105
6,neighborhood,cold,715,312,422,647,270
7,neighborhood,hot,215,244,103,335,378
7,neighborhood,cold,673,523,430,150,548
8,neighborhood,hot,658,250,210,103,132
8,neighborhood,cold,131,472,636,548,550
9,neighborhood,hot,103,186,244,335,658
9,neighborhood,cold,623,336,175,430,293
10,neighborhood,hot,186,103,658,244,215
10,neighborhood,cold,325,245,399,646,381
11,neighborhood,hot,103,186,132,215,658
11,neighborhood,cold,203,616,233,646,381
12,neighborhood,hot,658,215,186,132,103
12,neighborhood,cold,496,139,358,381,441
13,neighborhood,hot,103,658,335,215,186
13,neighborhood,cold,194,381,456,481,549
14,neighborhood,hot,215,103,186,244,119
14,neighborhood,cold,700,301,673,381,456
15,neighborhood,hot,173,103,244,215,658
15,neighborhood,cold,481,670,456,127,691
16,neighborhood,hot,173,132,103,186,215
16,neighborhood,cold,609,338,203,691,646
17,neighborhood,hot,173,132,186,658,244
17,neighborhood,cold,532,213,614,456,691
18,neighborhood,hot,173,132,186,334,658
18,neighborhood,cold,213,663,456,399,646
19,neighborhood,hot,132,658,173,272,448
19,neighborhood,cold,369,456,691,646,692
20,neighborhood,hot,132,215,173,658,448
20,neighborhood,cold,233,646,527,548,426
21,neighborhood,hot,173,132,448,658,186
21,neighborhood,cold,381,116,238,616,125
22,neighborhood,hot,132,173,448,658,378
22,neighborhood,cold,238,456,622,381,616
23,neighborhood,hot,173,132,721,658,244
23,neighborhood,cold,527,616,381,456,691
24,neighborhood,hot,173,132,670,658,215
24,neighborhood,cold,541,618,359,456,381
25,neighborhood,hot,721,173,132,658,346
25,neighborhood,cold,385,545,456,245,381
1,state,hot,727,313,312,315,318
1,state,cold,667,385,379,538,594
2,state,hot,727,313,312,315,318
2,state,cold,667,385,379,538,594
3,state,hot,727,313,312,315,318
3,state,cold,667,385,379,538,594
4,state,hot,727,313,312,315,318
4,state,cold,667,385,379,538,594
5,state,hot,727,313,312,315,318
5,state,cold,667,385,379,538,594
6,state,hot,727,313,312,315,318
6,state,cold,667,385,379,538,594
7,state,hot,727,540,262,539,239
7,state,cold,673,275,108,533,420
8,state,hot,727,692,132,208,409
8,state,cold,451,127,434,308,586
9,state,hot,727,647,648,645,469
9,state,cold,365,603,636,616,456
10,state,hot,727,442,443,125,450
10,state,cold,127,691,513,399,381
11,state,hot,628,469,439,464,262
11,state,cold,691,404,349,203,616
12,state,hot,303,230,132,244,628
12,state,cold,708,333,544,712,650
13,state,hot,383,210,628,469,439
13,state,cold,349,434,544,650,262
14,state,hot,439,581,210,628,132
14,state,cold,259,409,712,333,262
15,state,hot,383,439,628,132,210
15,state,cold,709,712,650,691,262
16,state,hot,132,303,628,244,210
16,state,cold,709,712,650,691,262
17,state,hot,210,439,469,628,383
17,state,cold,456,544,587,709,262
18,state,hot,439,210,628,244,303
18,state,cold,646,456,708,691,262
19,state,hot,469,303,628,132,383
19,state,cold,709,544,712,691,262
20,state,hot,383,244,469,132,303
20,state,cold,544,691,422,709,262
21,state,hot,210,132,469,244,439
21,state,cold,422,544,401,432,262
22,state,hot,383,244,132,303,628
22,state,cold,456,401,422,432,262
23,state,hot,244,469,132,210,303
23,state,cold,361,213,515,422,262
24,state,hot,303,244,469,132,628
24,state,cold,515,333,712,213,422
25,state,hot,210,628,383,303,132
25,state,cold,432,213,333,422,262
