1,neighborhood,hot,665,132,483,469,171
1,neighborhood,cold,422,715,270,539,647
2,neighborhood,hot,244,132,215,378,103
2,neighborhood,cold,120,568,709,322,548
3,neighborhood,hot,186,658,103,244,132
3,neighborhood,cold,127,548,481,233,381
4,neighborhood,hot,173,103,215,658,186
4,neighborhood,cold,670,596,481,194,456
5,neighborhood,hot,132,173,186,658,448
5,neighborhood,cold,101,456,646,692,691
6,neighborhood,hot,721,173,132,658,448
6,neighborhood,cold,456,616,692,440,381
7,neighborhood,hot,721,132,173,658,346
7,neighborhood,cold,385,545,456,245,381
1,state,hot,727,313,312,315,318
1,state,cold,667,385,379,538,594
2,state,hot,727,316,593,329,609
2,state,cold,275,420,673,712,108
3,state,hot,438,244,593,628,303
3,state,cold,709,544,650,333,616
4,state,hot,469,210,303,383,439
4,state,cold,709,333,712,650,262
5,state,hot,210,439,628,132,383
5,state,cold,456,544,709,691,262
6,state,hot,628,210,383,303,244
6,state,cold,213,401,432,422,262
7,state,hot,469,244,439,628,383
7,state,cold,432,213,333,422,262
